Fuel Type Code,Station Name,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,Latitude,Longitude
ELEC,LADWP - Truesdale Center,,39,3,34.24831915,-118.3879714
ELEC,LADWP - West LA District Office,,4,,34.052542,-118.448504
ELEC,Los Angeles Convention Center,,12,,34.040539,-118.271387
ELEC,LADWP - John Ferraro Building,,311,2,34.059133,-118.248589
ELEC,LADWP - Haynes Power Plant,,19,1,33.759802,-118.096665
ELEC,LADWP - Harbor Generating Station,,10,,33.770508,-118.265628
ELEC,LADWP - Sylmar West,,2,,34.30309,-118.480505
ELEC,LADWP - EV Service Center,,46,1,34.066801,-118.227605
ELEC,LADWP - Fairfax Center,,13,,34.036777,-118.368841
ELEC,California Air Resources Board,,3,,34.06872,-118.064
ELEC,LADWP - Palmetto Center,,10,,34.039736,-118.236065
ELEC,Scripps Green Hospital,,1,,32.89947,-117.243
ELEC,Galpin Motors,,2,,34.221665,-118.468371
ELEC,Galleria at Tyler,,4,,33.909914,-117.459053
ELEC,City of Pasadena - Holly Street Garage,,16,,34.14762,-118.147111
ELEC,City of Pasadena - De Lacey Garage,,2,,34.145138,-118.152655
ELEC,City of Pasadena - Schoolhouse Garage,,3,,34.145119,-118.150133
ELEC,Pasadena Hilton,,4,,34.142973,-118.140553
ELEC,Hyatt Regency Long Beach,,1,,33.7637,-118.192
ELEC,Los Angeles International Airport (LAX) - Lot 6,,20,,33.94325,-118.403342
ELEC,Northride Fashion Center,,2,,34.241116,-118.556708
ELEC,Ontario Airport Hotel and Conference Center,,1,,34.07122,-117.575
ELEC,Courtyard Marriott - Oxnard Ventura,,1,,34.228315,-119.170865
ELEC,Hilton - Palm Springs,,2,,33.824004,-116.543589
ELEC,East Bay Mini,,2,,37.700187,-121.876172
ELEC,Inland Empire Foods,,3,,34.0189,-117.38
ELEC,Sacramento International Airport - Daily A Lot,,4,,38.69005,-121.58889
ELEC,City of Santa Monica - Airport,,2,,34.017081,-118.44704
ELEC,City of Santa Monica - Pier,,3,,34.010021,-118.49583
ELEC,Westfield Fashion Square,,4,,34.156839,-118.434454
ELEC,Van Nuys Amtrak/Metrolink Station,,4,,34.21108,-118.448704
ELEC,Office Max - Home Depot,,4,,33.94756,-118.153806
ELEC,Hyatt at Fisherman's Wharf,,1,,37.80619,-122.4152
ELEC,Arden Fair Mall,,4,,38.599693,-121.427045
ELEC,Palace Hotel,,1,,37.78881,-122.401
ELEC,Mark Hopkins InterContinental Hotel,,1,,37.791791,-122.411265
ELEC,Hotel Sofitel,,2,,34.076264,-118.377527
ELEC,Music Center Parking - Level 2,,3,,34.057657,-118.24789
ELEC,Balboa Golf Course,,1,,34.169242,-118.497212
ELEC,California State University - Northridge,,2,,34.248959,-118.523887
ELEC,California State University - Northridge,,2,,34.241687,-118.528543
ELEC,California State University - Northridge,,4,,34.236853,-118.532588
ELEC,Northridge Metrolink Station,,4,,34.229277,-118.544827
ELEC,Los Angeles Harbor Department Headquarters,,4,,33.740758,-118.28192
ELEC,Sylmar Metrolink Station,,4,,34.2924134,-118.4497914
ELEC,Getty Center,12,16,,34.077588,-118.474585
ELEC,Los Angeles County - Arboretum,,3,,34.145528,-118.050548
ELEC,City of Glendora - City Hall,,3,,34.13556,-117.864
ELEC,DoubleTree Hotel - Los Angeles - Westside,,2,,33.9826,-118.3966
ELEC,Helms Bakery Building,,6,,34.029971,-118.385231
ELEC,Westfield MainPlace Mall,,6,,33.777054,-117.870566
ELEC,California State University - Channel Islands,,5,,34.16657602,-119.0458547
ELEC,Brea Downtown Parking,,4,,33.919899,-117.898618
ELEC,Home Depot,4,2,,34.192178,-118.934793
ELEC,Lake Casitas Municipal Water District - Recreational Area,,1,,34.418322,-119.3368
ELEC,San Dimas Park & Ride,,2,,34.105275,-117.809208
ELEC,City of Pasadena - El Molino Lot,,2,,34.147709,-118.136621
ELEC,Ventura County Government Center,,3,,34.267352,-119.2124
ELEC,Ventura County Air Pollution Control District,,3,,34.268756,-119.2154
ELEC,Pacific View Mall,,2,,34.268,-119.2492
ELEC,LADWP - Scattergood Generating Facility,,16,,33.917593,-118.425334
ELEC,Los Angeles Department of Public Works - Baldwin Park Construction Permit Office,,3,,34.089085,-117.95463
ELEC,Los Angeles Department of Public Works - Imperial Maintenance Yard,,6,,33.930663,-118.175758
ELEC,University of California - Davis Extension - Lot 80,1,3,,38.539336,-121.732405
ELEC,San Luis Obispo County Air Pollution Control District,1,1,,35.25939,-120.64492
ELEC,Soquel & Front Garage,,5,,36.973393,-122.024849
ELEC,LADWP - Wilmington District Yard,,8,,33.773005,-118.265821
ELEC,Fair Oaks - Orangevale - Community Library,,2,,38.66292,-121.2634
ELEC,Sutter Galleria Mall - University of California - Davis Extension,1,2,,38.57277,-121.467902
ELEC,North Highlands Library,,1,,38.7042,-121.365
ELEC,Gateway Oaks Metro Center,,1,,38.615468,-121.517263
ELEC,University of California - Davis - Medical Center,,2,,38.552483,-121.4487
ELEC,City of Sacramento - Belle Cooledge Library,,2,,38.524403,-121.5112
ELEC,Mosquito Road Park and Ride,,2,,38.73323,-120.78962
ELEC,City of Vacaville - Cultural Center,,1,,38.356027,-121.9628
ELEC,Stars Recreation Center,,3,,38.36557,-121.967
ELEC,City of Vacaville - Regional Transport Center,,3,,38.35172,-121.987
ELEC,Office of Housing & Redevelopment,,1,,38.356907,-122.001886
ELEC,KUIC Radio - Parking Lot,,1,,38.355867,-121.9862
ELEC,City of Vacaville - City Hall,,10,,38.351758,-121.994475
ELEC,Citrus Heights City Hall,,4,,38.682605,-121.297614
ELEC,El Dorado County Government Center,,3,,38.72799,-120.828
ELEC,El Dorado Transit Park & Ride,,2,,38.6476,-121.067
ELEC,Elk Grove Kia,,1,,38.40553,-121.391
ELEC,CVS Pharmacy,,1,,38.74453,-121.17
ELEC,Carmichael Library,,1,,38.618066,-121.334337
ELEC,Rio Vista City Hall,,1,,38.15485,-121.69
ELEC,Fairfield City Hall,,2,,38.25281,-122.044229
ELEC,Solano Community College,,3,,38.23723,-122.123
ELEC,Los Angeles International Airport (LAX) - Lot 1,,20,,33.944761,-118.399767
ELEC,Southern California Edison - Sacramento Office,,1,,38.578568,-121.491058
ELEC,Burlington International Airport,,6,,44.469281,-73.154972
ELEC,LADWP - Boylston,,12,,34.059047,-118.256812
ELEC,LADWP - Central District,,21,,34.033898,-118.256673
ELEC,LADWP - Lincoln Heights District,,67,,34.081998,-118.21713
ELEC,LADWP - Receiving Station C,,2,,33.799476,-118.257977
ELEC,LADWP - Valley Center Admin Lot,,56,1,34.208708,-118.444358
ELEC,LADWP - Valley Generating Station,,17,,34.241928,-118.390147
ELEC,City of Lacey - City Hall Parking,,4,,47.044011,-122.822404
ELEC,Oregon Museum of Science and Industry (OMSI) - South Parking Lot,2,2,,45.508396,-122.664667
ELEC,City of Ukiah - Public Parking Lot,,1,,39.15,-123.2091
ELEC,Nut Tree Village,1,1,,38.368755,-121.961192
ELEC,Placer County Community Development Resource Center,,3,,38.9412492,-121.1054805
ELEC,4th and G Plaza Public Parking Garage,,2,,38.54643,-121.7388
ELEC,Davis Amtrak Station,,2,,38.5443,-121.738
ELEC,University of California - Davis - Quad Parking Structure,2,7,,38.544538,-121.749713
ELEC,University Covenant Church,,1,,38.55755,-121.6947
ELEC,Wildhorse Golf Club,,2,,38.569412,-121.721373
ELEC,Lakewood Center Mall,,2,,33.84788,-118.13889
ELEC,Golden Gate Ferry Terminal,,1,,37.94495,-122.5096
ELEC,Oakland International Airport - Daily Lot,,2,,37.7136,-122.2087
ELEC,City of Champaign - Hill Street Parking Deck,,4,,40.119161,-88.244185
