Latitude,Longitude
34.25,-118.39
34.05,-118.45
34.04,-118.27
34.06,-118.25
33.76,-118.1
33.77,-118.27
34.3,-118.48
34.07,-118.23
34.04,-118.37
34.07,-118.06
34.04,-118.24
32.9,-117.24
34.22,-118.47
33.91,-117.46
34.15,-118.15
34.15,-118.15
34.15,-118.15
34.14,-118.14
33.76,-118.19
33.94,-118.4
34.24,-118.56
34.07,-117.58
34.23,-119.17
33.82,-116.54
37.7,-121.88
34.02,-117.38
38.69,-121.59
34.02,-118.45
34.01,-118.5
34.16,-118.43
34.21,-118.45
33.95,-118.15
37.81,-122.42
38.6,-121.43
37.79,-122.4
37.79,-122.41
34.08,-118.38
34.06,-118.25
34.17,-118.5
34.25,-118.52
34.24,-118.53
34.24,-118.53
34.23,-118.54
33.74,-118.28
34.29,-118.45
34.08,-118.47
34.15,-118.05
34.14,-117.86
33.98,-118.4
34.03,-118.39
33.78,-117.87
34.17,-119.05
33.92,-117.9
34.19,-118.93
34.42,-119.34
34.11,-117.81
34.15,-118.14
34.27,-119.21
34.27,-119.22
34.27,-119.25
33.92,-118.43
34.09,-117.95
33.93,-118.18
38.54,-121.73
35.26,-120.64
36.97,-122.02
33.77,-118.27
38.66,-121.26
38.57,-121.47
38.7,-121.37
38.62,-121.52
38.55,-121.45
38.52,-121.51
38.73,-120.79
38.36,-121.96
38.37,-121.97
38.35,-121.99
38.36,-122
38.36,-121.99
38.35,-121.99
38.68,-121.3
38.73,-120.83
38.65,-121.07
38.41,-121.39
38.74,-121.17
38.62,-121.33
38.15,-121.69
38.25,-122.04
38.24,-122.12
33.94,-118.4
34.06,-118.26
34.03,-118.26
34.08,-118.22
33.8,-118.26
34.21,-118.44
34.24,-118.39
47.04,-122.82
45.51,-122.66
39.15,-123.21
38.37,-121.96
38.94,-121.11
38.55,-121.74
38.54,-121.74
38.54,-121.75
38.56,-121.69
38.57,-121.72
33.85,-118.14
37.94,-122.51
37.71,-122.21
40.12,-88.24
43.61,-116.2
45.51,-122.82
38.25,-122.07
37.78,-122.42
44.93,-124.02
28.54,-81.38
43.08,-89.36
44.59,-123.12
45.55,-122.71
35.25,-120.69
35.26,-120.68
42.7,-73.86
47.67,-117.39
47.65,-117.43
41.62,-93.58
41.68,-93.7
32.24,-110.78
40.29,-74.81
44.01,-123.03
29.76,-95.37
34.44,-119.83
41.89,-87.63
34.95,-81.93
34.95,-81.93
34.72,-81.62
41.16,-73.24
41.31,-72.93
41.31,-72.93
41.3,-72.93
41.36,-72.09
41.12,-73.37
41.95,-72.66
42.59,-87.92
43.09,-89.53
34.04,-80.94
41.5,-81.64
38.42,-82.46
28.56,-81.44
28.56,-81.38
28.43,-81.46
28.53,-81.45
28.51,-81.35
38.69,-90.42
45.52,-122.99
45.52,-122.98
47.61,-122.19
45.51,-122.67
40.75,-111.88
40.76,-111.88
47.07,-122.98
41.77,-72.69
41.88,-72.73
38.93,-94.73
42.36,-72.54
26.47,-80.07
47.55,-122.02
47.68,-122.09
41.77,-72.67
42.35,-71.04
34.01,-81.03
34,-81.04
34.01,-81.04
34,-81.04
34.85,-82.39
34.85,-82.4
34.85,-82.4
34.85,-82.39
34,-81.04
34.85,-82.4
34.85,-82.39
34.85,-82.4
34.93,-81.03
34.72,-81.65
34.78,-81.46
34.02,-118.49
37.78,-122.41
37.81,-122.42
34.01,-118.49
39.84,-104.77
39.95,-105.17
42.37,-71.12
41.49,-87.52
42.96,-85.66
41.95,-87.7
41.75,-87.71
40.51,-88.98
40.51,-88.98
39.8,-89.65
39.71,-86.39
30.2,-93.21
44.95,-93
47.76,-122.19
47.68,-122.13
47.67,-122.1
47.73,-122.15
43.01,-89.46
43.1,-89.5
35.78,-78.64
35.77,-78.64
37.96,-91.78
30.21,-97.76
43,-71.47
39.15,-123.2
34.75,-82.28
36.91,-80.32
37.55,-77.45
37.54,-77.43
36.01,-84.27
35.56,-86.45
32.41,-99.77
35.16,-101.94
32.68,-97.09
30.37,-97.73
29.81,-94.97
30.06,-94.13
32.84,-97.16
30.64,-96.31
27.73,-97.42
32.65,-96.86
33.78,-96.58
31.78,-106.42
31.72,-106.3
32.72,-97.48
32.93,-97.09
26.19,-97.73
29.91,-95.61
29.68,-95.42
29.63,-95.23
29.79,-95.6
29.99,-95.42
29.99,-95.28
32.85,-96.91
29.78,-95.82
31.08,-97.69
27.49,-97.85
27.53,-99.46
29.48,-95.1
33.02,-96.99
32.55,-94.73
33.54,-101.96
33.16,-96.64
32.83,-96.63
32.02,-102.15
29.95,-94.01
32.97,-96.72
29.53,-95.77
30.54,-97.69
31.45,-100.5
29.54,-98.58
29.52,-98.47
29.46,-98.63
29.56,-98.34
30.5,-97.68
30.31,-94.18
29.65,-95.58
31.08,-97.41
32.31,-95.34
28.85,-97
31.5,-97.16
32.76,-97.71
